날짜,미세먼지,초미세먼지,오존,이산화질소,일산화탄소,아황산가스
20160101,68,45,0.006,0.047,1,0.006
20160102,51,31,0.009,0.044,0.7,0.006
20160103,96,58,0.013,0.049,0.9,0.007
20160104,74,47,0.025,0.025,0.6,0.006
20160105,32,16,0.016,0.025,0.4,0.006
20160106,56,29,0.008,0.041,0.7,0.007
20160107,39,20,0.016,0.026,0.5,0.006
20160108,34,18,0.014,0.03,0.5,0.006
20160109,37,19,0.014,0.032,0.5,0.006
20160110,32,19,0.02,0.026,0.5,0.006
20160111,40,21,0.017,0.028,0.5,0.006
20160112,49,24,0.012,0.035,0.6,0.006
20160113,38,20,0.014,0.032,0.5,0.005
20160114,43,21,0.011,0.037,0.6,0.006
20160115,51,29,0.007,0.049,0.7,0.006
20160116,69,43,0.005,0.049,0.8,0.006
20160117,69,46,0.007,0.047,0.9,0.006
20160118,56,32,0.021,0.023,0.6,0.005
20160119,33,13,0.024,0.015,0.4,0.005
20160120,38,22,0.014,0.031,0.5,0.005
20160121,51,30,0.011,0.039,0.7,0.006
20160122,50,27,0.014,0.034,0.6,0.006
20160123,32,14,0.026,0.015,0.4,0.005
20160124,38,19,0.024,0.015,0.4,0.006
20160125,50,17,0.014,0.033,0.5,0.006
20160126,78,37,0.005,0.055,0.9,0.008
20160127,63,31,0.012,0.047,0.8,0.007
20160128,58,31,0.005,0.056,0.9,0.006
20160129,50,26,0.009,0.043,0.7,0.007
20160130,40,24,0.009,0.042,0.8,0.006
20160131,39,21,0.025,0.02,0.5,0.006
20160201,40,18,0.021,0.025,0.5,0.005
20160202,45,22,0.015,0.038,0.6,0.006
20160203,56,30,0.009,0.054,0.9,0.007
20160204,55,30,0.015,0.043,0.8,0.007
20160205,45,21,0.018,0.035,0.6,0.006
20160206,50,24,0.025,0.023,0.5,0.007
20160207,46,24,0.015,0.034,0.6,0.006
20160208,73,41,0.024,0.031,0.7,0.007
20160209,50,25,0.027,0.02,0.5,0.007
20160210,40,22,0.009,0.045,0.8,0.006
20160211,46,25,0.01,0.05,0.8,0.007
20160212,33,21,0.01,0.042,0.7,0.005
20160213,15,10,0.006,0.035,0.7,0.005
20160214,29,17,0.023,0.014,0.4,0.004
20160215,33,11,0.027,0.018,0.4,0.004
20160216,27,15,0.018,0.029,0.5,0.005
20160217,38,15,0.015,0.036,0.5,0.005
20160218,44,22,0.021,0.038,0.6,0.006
20160219,82,41,0.008,0.046,0.9,0.007
20160220,44,18,0.02,0.031,0.5,0.005
20160221,26,12,0.029,0.019,0.4,0.005
20160222,43,18,0.011,0.042,0.5,0.005
20160223,53,27,0.02,0.029,0.5,0.005
20160224,32,17,0.023,0.026,0.4,0.005
20160225,51,28,0.02,0.034,0.6,0.006
20160226,49,28,0.022,0.036,0.6,0.007
20160227,65,40,0.019,0.04,0.6,0.006
20160228,46,28,0.016,0.041,0.6,0.005
20160229,54,28,0.029,0.02,0.4,0.005
20160301,31,17,0.027,0.024,0.4,0.005
20160302,36,20,0.02,0.036,0.5,0.006
20160303,56,30,0.019,0.044,0.5,0.005
20160304,68,36,0.018,0.046,0.6,0.006
20160305,22,14,0.012,0.032,0.5,0.005
20160306,94,23,0.024,0.023,0.5,0.005
20160307,108,28,0.008,0.049,0.7,0.005
20160308,71,20,0.027,0.023,0.5,0.005
20160309,44,15,0.027,0.018,0.4,0.005
20160310,35,14,0.029,0.017,0.4,0.005
20160311,36,17,0.029,0.023,0.4,0.005
20160312,43,19,0.024,0.032,0.5,0.005
20160313,61,35,0.026,0.035,0.6,0.006
20160314,64,42,0.032,0.029,0.6,0.005
20160315,57,28,0.021,0.046,0.6,0.006
20160316,64,32,0.02,0.053,0.6,0.008
20160317,76,40,0.008,0.074,0.9,0.007
20160318,66,36,0.02,0.056,0.8,0.007
20160319,77,39,0.029,0.035,0.6,0.005
20160320,83,44,0.024,0.042,0.7,0.007
20160321,87,48,0.022,0.051,0.7,0.007
20160322,72,44,0.028,0.044,0.6,0.006
20160323,81,46,0.032,0.03,0.5,0.005
20160324,41,21,0.029,0.027,0.4,0.004
20160325,70,35,0.023,0.042,0.6,0.006
20160326,66,40,0.026,0.042,0.6,0.005
20160327,66,40,0.037,0.035,0.6,0.006
20160328,70,40,0.033,0.048,0.6,0.008
20160329,97,51,0.049,0.035,0.6,0.007
20160330,91,48,0.031,0.039,0.6,0.006
20160331,51,22,0.017,0.057,0.6,0.007
20160401,72,30,0.024,0.061,0.7,0.007
20160402,80,39,0.037,0.05,0.7,0.008
20160403,52,31,0.028,0.029,0.5,0.004
20160404,29,12,0.021,0.033,0.5,0.004
20160405,58,22,0.028,0.038,0.5,0.007
20160406,74,36,0.027,0.05,0.6,0.008
20160407,43,24,0.033,0.03,0.5,0.005
20160408,77,39,0.03,0.034,0.5,0.006
20160409,117,58,0.019,0.041,0.8,0.006
20160410,134,68,0.039,0.031,0.8,0.006
20160411,46,20,0.031,0.031,0.4,0.004
20160412,57,27,0.03,0.035,0.5,0.005
20160413,58,32,0.021,0.045,0.6,0.005
20160414,57,30,0.017,0.042,0.6,0.005
20160415,54,27,0.031,0.039,0.6,0.005
20160416,51,24,0.029,0.04,0.5,0.005
20160417,46,16,0.04,0.015,0.4,0.004
20160418,63,23,0.035,0.025,0.5,0.005
20160419,45,20,0.03,0.031,0.4,0.004
20160420,63,31,0.02,0.047,0.6,0.005
20160421,27,17,0.028,0.031,0.4,0.004
20160422,81,47,0.034,0.031,0.6,0.005
20160423,198,42,0.027,0.032,0.6,0.004
20160424,144,26,0.031,0.031,0.5,0.004
20160425,76,24,0.023,0.051,0.6,0.005
20160426,78,29,0.037,0.039,0.6,0.005
20160427,50,16,0.045,0.021,0.4,0.004
20160428,58,20,0.035,0.033,0.4,0.004
20160429,63,27,0.039,0.033,0.5,0.005
20160430,76,35,0.058,0.027,0.6,0.007
20160501,45,20,0.05,0.024,0.5,0.005
