날짜,공휴일,날씨,유료합계,어른,청소년,어린이,외국인,단체,무료합계,총계,연,월,일,요일
2016-01-01,O,구름 조금,3359,2799,141.0,419,47,0,1023,4382,2016,1,1,4
2016-01-02,O,구름 많음,5173,4370,203.0,600,100,111,2092,7265,2016,1,2,5
2016-01-03,O,구름 많음,3008,2571,128.0,309,91,0,1549,4557,2016,1,3,6
2016-01-04,X,구름 많음,890,602,,235,51,223,800,1690,2016,1,4,0
2016-01-05,X,구름 많음,416,319,35.0,62,43,47,840,1256,2016,1,5,1
2016-01-06,X,구름 조금,367,277,41.0,49,34,0,807,1174,2016,1,6,2
2016-01-07,X,맑음,309,250,23.0,36,13,0,735,1044,2016,1,7,3
2016-01-08,X,구름 조금,315,251,28.0,36,30,0,611,926,2016,1,8,4
2016-01-09,O,구름 많음,1418,1227,78.0,113,47,80,1222,2640,2016,1,9,5
2016-01-10,O,구름 많음,2211,1839,96.0,276,34,61,1393,3604,2016,1,10,6
2016-01-11,X,구름 조금,368,268,40.0,60,23,0,628,996,2016,1,11,0
2016-01-12,X,구름 조금,862,531,27.0,304,12,614,780,1642,2016,1,12,1
2016-01-13,X,구름 많음,240,192,21.0,27,24,0,767,1007,2016,1,13,2
2016-01-14,X,구름 조금,252,200,37.0,15,13,5,620,872,2016,1,14,3
2016-01-15,X,구름 조금,339,253,35.0,51,14,0,708,1047,2016,1,15,4
2016-01-16,O,구름 많음,1720,1395,97.0,228,23,167,1277,2997,2016,1,16,5
2016-01-17,O,흐림,2313,1954,94.0,265,9,30,1135,3448,2016,1,17,6
2016-01-18,X,구름 많음,216,162,29.0,25,9,0,592,808,2016,1,18,0
2016-01-19,X,맑음,78,61,9.0,8,13,0,222,300,2016,1,19,1
2016-01-20,X,맑음,82,69,7.0,6,17,0,340,422,2016,1,20,2
2016-01-21,X,구름 많음,153,119,15.0,19,3,0,474,627,2016,1,21,3
2016-01-22,X,구름 조금,128,81,32.0,15,6,0,458,586,2016,1,22,4
2016-01-23,O,구름 조금,296,198,80.0,18,6,71,594,890,2016,1,23,5
2016-01-24,O,구름 조금,128,110,9.0,9,23,0,196,324,2016,1,24,6
2016-01-25,X,맑음,72,58,10.0,4,5,0,350,422,2016,1,25,0
2016-01-26,X,눈,150,123,11.0,16,10,0,608,758,2016,1,26,1
2016-01-27,X,구름 조금,394,287,61.0,46,29,0,824,1218,2016,1,27,2
2016-01-28,X,구름 많음,370,290,46.0,34,9,0,776,1146,2016,1,28,3
2016-01-29,X,흐림,1074,663,50.0,361,46,571,703,1777,2016,1,29,4
2016-01-30,O,구름 조금,2655,2266,146.0,243,72,0,1473,4128,2016,1,30,5
