날짜,공휴일,날씨,어른,청소년,어린이,외국인,단체,총입장객수,연,월,일,요일
2016-01-01,O,구름 조금,2799,141.0,419,47,0,4382,2016,1,1,금
2016-01-02,O,구름 많음,4370,203.0,600,100,111,7265,2016,1,2,토
2016-01-03,O,구름 많음,2571,128.0,309,91,0,4557,2016,1,3,일
2016-01-04,X,구름 많음,602,463.0,235,51,223,1690,2016,1,4,월
2016-01-05,X,구름 많음,319,35.0,62,43,47,1256,2016,1,5,화
2016-01-06,X,구름 조금,277,41.0,49,34,0,1174,2016,1,6,수
2016-01-07,X,맑음,250,23.0,36,13,0,1044,2016,1,7,목
2016-01-08,X,구름 조금,251,28.0,36,30,0,926,2016,1,8,금
2016-01-09,O,구름 많음,1227,78.0,113,47,80,2640,2016,1,9,토
2016-01-10,O,구름 많음,1839,96.0,276,34,61,3604,2016,1,10,일
2016-01-11,X,구름 조금,268,40.0,60,23,0,996,2016,1,11,월
2016-01-12,X,구름 조금,531,27.0,304,12,614,1642,2016,1,12,화
2016-01-13,X,구름 많음,192,21.0,27,24,0,1007,2016,1,13,수
2016-01-14,X,구름 조금,200,37.0,15,13,5,872,2016,1,14,목
2016-01-15,X,구름 조금,253,35.0,51,14,0,1047,2016,1,15,금
2016-01-16,O,구름 많음,1395,97.0,228,23,167,2997,2016,1,16,토
2016-01-17,O,흐림,1954,94.0,265,9,30,3448,2016,1,17,일
2016-01-18,X,구름 많음,162,29.0,25,9,0,808,2016,1,18,월
2016-01-19,X,맑음,61,9.0,8,13,0,300,2016,1,19,화
2016-01-20,X,맑음,69,7.0,6,17,0,422,2016,1,20,수
2016-01-21,X,구름 많음,119,15.0,19,3,0,627,2016,1,21,목
2016-01-22,X,구름 조금,81,32.0,15,6,0,586,2016,1,22,금
2016-01-23,O,구름 조금,198,80.0,18,6,71,890,2016,1,23,토
2016-01-24,O,구름 조금,110,9.0,9,23,0,324,2016,1,24,일
2016-01-25,X,맑음,58,10.0,4,5,0,422,2016,1,25,월
2016-01-26,X,눈/비,123,11.0,16,10,0,758,2016,1,26,화
2016-01-27,X,구름 조금,287,61.0,46,29,0,1218,2016,1,27,수
