날짜,요일,공휴일,날씨,유료합계,어른,청소년,어린이,외국인,단체,무료합계,총계
2019-04-01,월,X,구름 조금,"1,064",953,12,72,42,0,812,"1,818"
2019-04-02,화,X,구름 조금,"1,020",938,4,34,36,55,"1,061","1,958"
2019-04-03,수,X,맑음,"2,749","2,313",57,337,31,1651,"1,208","3,813"
2019-04-04,목,X,맑음,"1,630",1472,25,74,50,123,"1,430",2755
2019-04-05,금,X,맑음,"2,991",1507,1306,97,21,1368,"1,109",3872
2019-04-06,토,O,비,"8,490",6944,182,952,53,212,"2,782",10746
2019-04-07,일,O,구름 조금,"24,842",19670,335,2923,177,200,"7,082","29,334"
2019-04-08,월,X,맑음,"3,885",2598,974,143,68,1007,"1,616","5,075"
2019-04-09,화,X,비,"1,388","1,229",8,113,40,363,"1,641","2,825"
2019-04-10,수,X,흐림,973,385,448,133,10,761,"1,151","2,030"
2019-04-11,목,X,구름 많음,"5,834",3841,34,1727,22,3442,"2,743",7792
2019-04-12,금,X,맑음,"5,313",3826,975,186,78,1597,"3,983","8,353"
2019-04-13,토,O,구름 많음,"29,273",22340,414,3511,113,210,"9,927","35,225"
2019-04-14,일,O,흐림,"3,675",2922,61,382,85,106,"1,342","4,513"
2019-04-15,월,X,맑음,"3,835",3235,124,200,69,208,"2,721",5686
2019-04-16,화,X,구름 많음,"3,146","2,635",54,125,20,558,"3,836","5,840"
2019-04-17,수,X,맑음,"3,198","2,789",22,124,40,327,"2,842","5,159"
2019-04-18,목,X,,"1,905",1672,26,102,54,442,"2,886","4,017"
2019-04-19,금,X,,"3,354",2690,54,413,125,1243,"3,140","5,643"
2019-04-20,토,O,,"21,975",17569,222,2583,81,182,"7,444",27305
2019-04-21,일,O,,"15,243",12118,158,1943,175,152,"4,631","18,574"
2019-04-22,월,X,맑음,"2,811",2387,14,213,81,178,"1,634","3,966"
2019-04-23,화,X,흐림,"1,900","1,299",7,439,57,761,"2,005","3,288"
2019-04-24,수,X,구름 많음,"1,451","1,062",14,276,40,895,"2,024","3,228"
2019-04-25,목,X,비,"5,373",3837,112,1329,16,5228,"1,496","6,273"
2019-04-26,금,X,구름 많음,"2,315",1719,270,291,17,1911,"1,235","3,307"
2019-04-27,토,O,구름 조금,"18,863",15218,207,2173,125,447,"4,914","22,012"
2019-04-28,일,O,구름 많음,"13,786",10947,178,1780,88,455,"4,178","16,803"
2019-04-29,월,X,흐림,"1,437","1,169",47,130,27,370,"1,846","2,686"
2019-04-30,화,X,,"3,044","1,910",378,381,63,2070,"3,789","5,657"
