,날짜,요일,공휴일,날씨,어른,청소년,어린이,외국인,단체,총입장객수,연,월,일,매출액
0,2016-01-01,금,O,구름 조금,2799,141.0,419,47,0,4382,2016,1,1,33590000
1,2016-01-02,토,O,구름 많음,4370,203.0,600,100,111,7265,2016,1,2,51730000
2,2016-01-03,일,O,구름 많음,2571,128.0,309,91,0,4557,2016,1,3,30080000
3,2016-01-04,월,X,구름 많음,602,463.0,235,51,223,1690,2016,1,4,8900000
4,2016-01-05,화,X,구름 많음,319,35.0,62,43,47,1256,2016,1,5,4160000
5,2016-01-06,수,X,구름 조금,277,41.0,49,34,0,1174,2016,1,6,3670000
6,2016-01-07,목,X,맑음,250,23.0,36,13,0,1044,2016,1,7,3090000
7,2016-01-08,금,X,구름 조금,251,28.0,36,30,0,926,2016,1,8,3150000
8,2016-01-09,토,O,구름 많음,1227,78.0,113,47,80,2640,2016,1,9,14180000
9,2016-01-10,일,O,구름 많음,1839,96.0,276,34,61,3604,2016,1,10,22110000
10,2016-01-11,월,X,구름 조금,268,40.0,60,23,0,996,2016,1,11,3680000
11,2016-01-12,화,X,구름 조금,531,27.0,304,12,614,1642,2016,1,12,8620000
12,2016-01-13,수,X,구름 많음,192,21.0,27,24,0,1007,2016,1,13,2400000
13,2016-01-14,목,X,구름 조금,200,37.0,15,13,5,872,2016,1,14,2520000
14,2016-01-15,금,X,구름 조금,253,35.0,51,14,0,1047,2016,1,15,3390000
15,2016-01-16,토,O,구름 많음,1395,97.0,228,23,167,2997,2016,1,16,17200000
16,2016-01-17,일,O,흐림,1954,94.0,265,9,30,3448,2016,1,17,23130000
17,2016-01-18,월,X,구름 많음,162,29.0,25,9,0,808,2016,1,18,2160000
18,2016-01-19,화,X,맑음,61,9.0,8,13,0,300,2016,1,19,780000
19,2016-01-20,수,X,맑음,69,7.0,6,17,0,422,2016,1,20,820000
20,2016-01-21,목,X,구름 많음,119,15.0,19,3,0,627,2016,1,21,1530000
21,2016-01-22,금,X,구름 조금,81,32.0,15,6,0,586,2016,1,22,1280000
22,2016-01-23,토,O,구름 조금,198,80.0,18,6,71,890,2016,1,23,2960000
23,2016-01-24,일,O,구름 조금,110,9.0,9,23,0,324,2016,1,24,1280000
24,2016-01-25,월,X,맑음,58,10.0,4,5,0,422,2016,1,25,720000
25,2016-01-26,화,X,눈/비,123,11.0,16,10,0,758,2016,1,26,1500000
26,2016-01-27,수,X,구름 조금,287,61.0,46,29,0,1218,2016,1,27,3940000
27,2016-01-28,목,X,구름 많음,290,46.0,34,9,0,1146,2016,1,28,3700000
28,2016-01-29,금,X,흐림,663,50.0,361,46,571,1777,2016,1,29,10740000
29,2016-01-30,토,O,구름 조금,2266,146.0,243,72,0,4128,2016,1,30,26550000
30,2016-01-31,일,O,구름 조금,1304,57.0,149,28,0,2584,2016,1,31,15100000
31,2016-02-01,월,X,맑음,188,3033.0,17,18,3000,3746,2016,2,1,32380000
32,2016-02-02,화,X,맑음,166,2023.0,10,8,2000,2927,2016,2,2,21990000
33,2016-02-03,수,X,구름 조금,264,23.0,9,32,0,1130,2016,2,3,2960000
34,2016-02-04,목,X,구름 조금,319,31.0,21,28,0,1120,2016,2,4,3710000
35,2016-02-05,금,X,구름 조금,234,41.0,29,14,0,840,2016,2,5,3040000
36,2016-02-06,토,O,맑음,924,53.0,105,40,0,2058,2016,2,6,10820000
37,2016-02-07,일,O,맑음,1251,74.0,127,191,0,2128,2016,2,7,14520000
38,2016-02-08,월,O,구름 많음,2286,123.0,245,429,0,3221,2016,2,8,26540000
39,2016-02-09,화,O,맑음,4610,223.0,620,209,0,7060,2016,2,9,54530000
40,2016-02-10,수,O,맑음,6037,251.0,792,141,0,9949,2016,2,10,70800000
41,2016-02-11,목,X,구름 많음,1545,113.0,419,98,671,3098,2016,2,11,20770000
42,2016-02-12,금,X,눈/비,74,17.0,6,0,0,357,2016,2,12,970000
43,2016-02-13,토,O,흐림,1401,41.0,167,54,45,2742,2016,2,13,16090000
44,2016-02-14,일,O,흐림,862,83.0,108,63,0,2042,2016,2,14,10530000
45,2016-02-15,월,X,맑음,194,463.0,29,39,0,696,2016,2,15,2500000
46,2016-02-16,화,X,구름 많음,178,25.0,32,40,0,994,2016,2,16,2350000
47,2016-02-17,수,X,맑음,440,93.0,46,21,0,1429,2016,2,17,5790000
48,2016-02-18,목,X,구름 많음,529,83.0,86,68,0,1622,2016,2,18,6980000
49,2016-02-19,금,X,구름 많음,555,98.0,84,26,0,1630,2016,2,19,7370000
50,2016-02-20,토,O,구름 조금,3926,193.0,599,45,73,6626,2016,2,20,47180000
51,2016-02-21,일,O,맑음,2911,157.0,439,89,0,5102,2016,2,21,35070000
52,2016-02-22,월,X,흐림,522,74.0,97,8,0,1398,2016,2,22,6930000
53,2016-02-23,화,X,구름 많음,559,106.0,150,32,65,1726,2016,2,23,8150000
54,2016-02-24,수,X,맑음,371,82.0,89,19,33,1333,2016,2,24,5420000
55,2016-02-25,목,X,구름 조금,524,80.0,119,15,0,1538,2016,2,25,7230000
56,2016-02-26,금,X,구름 조금,992,194.0,189,19,69,2519,2016,2,26,13750000
57,2016-02-27,토,O,구름 많음,3990,197.0,611,0,175,6519,2016,2,27,47980000
58,2016-02-28,일,O,구름 많음,2748,153.0,465,51,0,4970,2016,2,28,33660000
59,2016-02-29,월,X,구름 조금,476,92.0,106,27,0,1233,2016,2,29,6740000
60,2016-03-01,화,O,맑음,2450,198.0,289,31,104,4507,2016,3,1,29370000
61,2016-03-02,수,X,구름 조금,878,21.0,272,8,605,2146,2016,3,2,11710000
62,2016-03-03,목,X,흐림,721,2.0,10,20,0,1783,2016,3,3,7330000
63,2016-03-04,금,X,흐림,1572,16.0,41,2,63,2783,2016,3,4,16290000
64,2016-03-05,토,O,흐림,495,12.0,61,10,0,1405,2016,3,5,5680000
65,2016-03-06,일,O,구름 많음,7669,219.0,909,108,0,11564,2016,3,6,87970000
66,2016-03-07,월,X,구름 많음,683,5.0,17,21,0,1480,2016,3,7,7050000
67,2016-03-08,화,X,,465,10007.0,8,8,10000,11521,2016,3,8,104800000
68,2016-03-09,수,X,,384,2.0,7,41,0,1255,2016,3,9,3930000
69,2016-03-10,목,X,,283,0.0,11,14,30,1184,2016,3,10,2940000
70,2016-03-11,금,X,,975,12.0,582,21,1209,2305,2016,3,11,15690000
71,2016-03-12,토,O,흐림,4427,171.0,653,55,86,7460,2016,3,12,52510000
72,2016-03-13,일,O,흐림,3897,125.0,535,87,100,6352,2016,3,13,45570000
73,2016-03-14,월,X,구름 많음,1175,10.0,30,57,0,2385,2016,3,14,12150000
74,2016-03-15,화,X,맑음,1205,10.0,23,53,41,2541,2016,3,15,12380000
75,2016-03-16,수,X,구름 조금,1465,7.0,41,40,0,2697,2016,3,16,15130000
76,2016-03-17,목,X,구름 조금,1270,37.0,35,36,62,2529,2016,3,17,13420000
77,2016-03-18,금,X,흐림,1663,13.0,48,29,0,2836,2016,3,18,17360000
78,2016-03-19,토,O,구름 조금,22735,422.0,2990,112,178,33131,2016,3,19,264480000
79,2016-03-20,일,O,구름 조금,22947,535.0,3370,176,0,34360,2016,3,20,270930000
80,2016-03-21,월,X,맑음,2223,14.0,70,58,0,3537,2016,3,21,23580000
81,2016-03-22,화,X,구름 조금,1755,20.0,41,74,53,3338,2016,3,22,18320000
82,2016-03-23,수,X,구름 조금,1365,58.0,69,22,57,2787,2016,3,23,15530000
83,2016-03-24,목,X,맑음,1223,37.0,61,50,63,2438,2016,3,24,13220000
84,2016-03-25,금,X,구름 조금,1705,79.0,85,65,38,3291,2016,3,25,19990000
85,2016-03-26,토,O,맑음,14114,408.0,2094,192,62,21748,2016,3,26,169580000
86,2016-03-27,일,O,맑음,20041,487.0,2860,205,60,30489,2016,3,27,236100000
87,2016-03-28,월,X,맑음,2477,85.0,86,97,131,4136,2016,3,28,26660000
88,2016-03-29,화,X,구름 많음,1013,29.0,91,47,62,2248,2016,3,29,11330000
89,2016-03-30,수,X,구름 많음,2135,1195.0,341,70,1834,4857,2016,3,30,37400000
90,2016-03-31,목,X,구름 많음,2494,406.0,152,100,393,4758,2016,3,31,31740000
91,2016-04-01,금,X,맑음,4131,1210.0,274,47,1158,7537,2016,4,1,57300000
92,2016-04-02,토,O,구름 조금,26605,561.0,3643,169,201,37787,2016,4,2,314070000
93,2016-04-03,일,O,흐림,6498,347.0,959,141,785,9952,2016,4,3,80380000
94,2016-04-04,월,X,구름 조금,4219,52.0,188,59,105,6813,2016,4,4,45150000
95,2016-04-05,화,X,맑음,4278,75.0,116,79,343,7452,2016,4,5,46520000
96,2016-04-06,수,X,구름 조금,4467,1202.0,252,50,1928,9032,2016,4,6,59730000
97,2016-04-07,목,X,눈/비,2638,117.0,69,72,379,5013,2016,4,7,28630000
98,2016-04-08,금,X,구름 조금,5984,1187.0,232,94,1730,11370,2016,4,8,77310000
99,2016-04-09,토,O,구름 많음,20664,825.0,2840,226,214,32879,2016,4,9,250270000
100,2016-04-10,일,O,구름 많음,22441,936.0,3192,446,176,33139,2016,4,10,269120000
101,2016-04-11,월,X,맑음,5223,2145.0,424,97,2583,11313,2016,4,11,79480000
102,2016-04-12,화,X,구름 많음,4595,2101.0,289,89,3684,12028,2016,4,12,71460000
103,2016-04-13,수,O,눈/비,17011,708.0,2795,172,97,26405,2016,4,13,209150000
104,2016-04-14,목,X,구름 많음,2683,778.0,444,125,1814,7079,2016,4,14,41290000
105,2016-04-15,금,X,맑음,4904,2614.0,2028,115,6692,14228,2016,4,15,97460000
106,2016-04-16,토,O,구름 많음,8454,268.0,1331,162,549,14154,2016,4,16,104100000
